Date,Time,Area Affected,Event Type
2005-09-23 00:00:00,5:00 p.m.,"Houston, Texas and the surrounding suburban areas",Hurricane Rita
2005-09-23 00:00:00,9:00 p.m.,"Texas, Louisiana, Arkansas, and Mississippi",Hurricane Rita
2005-09-24 00:00:00,6:00 a.m.,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",Hurricane Rita
2005-09-24 00:00:00,10:00 a.m.,"Shreveport, Louisiana",Hurricane Rita
2005-10-02 00:00:00,5:40 p.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2005-10-18 00:00:00,3:19 p.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2005-10-22 00:00:00,9:44 a.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2005-10-23 00:00:00,8:00 p.m..,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",Hurricane Wilma
2005-10-24 00:00:00,4:00 a.m.,"Florida counties of Collier, Charlotte and Lee",Hurricane Wilma
2005-10-24 00:00:00,7:00 a.m.,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",Hurricane Wilma 
2005-10-24 00:00:00,8:00 p.m.,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",Hurricane Wilma
2005-11-03 00:00:00,6:47 p.m.,"San Francisco Bay area, California",Plant Tripped
2005-11-06 00:00:00,7:30 a.m.,Southeast Michigan,Severe Thunderstorm
2005-11-12 00:00:00,4:00 p.m.,Southeast Wisconsin ,Severe Thunderstorms
2005-11-12 00:00:00,11:00 p.m.,Western and Central portions of Michigan's Lower Peninsula,Severe Thunderstorm
2005-12-15 00:00:00,4:00 a.m.,Piedmont North Carolina and South Carolina,Ice Storm
2005-12-15 00:00:00,5:05 a.m.,Northeast Georgia,Ice Storm
2005-12-31 00:00:00,6:00 a.m.,Northern and Central California,Severe Storms
2006-01-14 00:00:00,3:45 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds
2006-01-18 00:00:00,3:16 p.m.,Southern and Central Maine,Severe Storm
2006-02-04 00:00:00,1:34 a.m.,"Snohomish County, Washington",Strong Winds
2006-02-04 00:00:00,4:30 a.m.,Western Washington,Severe Windstorm
2006-02-11 00:00:00,9:00 p.m.,Baltimore Metropolitan and Central Maryland,Major Snow Storm
